Title,Mission,Mission,Program Description,Type of service,Other type of service,"Headquarter Location (City, State)",States of Operation,Website Address,Organization Type,Year Started,Subject Offered,Other subjects,Grade Levels,Languages Offered,Other languages,Type of Tutor,Other tutor type,Delivery Mode,Percentage of tutors who can speak a language other than English,Race/Ethnicity breakdown of tutors,Most recent number of students served,Number of Minutes Per Session,Number of Sessions Per Week,Number of Weeks Per Program,Student-Tutor Ratio,Student/Tutor Ratio Per Program,Setting,Family Engagement,Family Engagement Description,Randomized controlled trial (RCT) study conducted?,RCT Citation,RCT effect size,Quasi-experimental (QED) study conducted?,QED citation,QED effect size,Customer Type,Cost to District/ School/ Non-Profit ,Cost to Student ,Contact
Ingenify,,"At Ingenify, it is our mission to help students succeed academically by providing free, virtual tutoring.",Ingenify is a two sided marketplace that connects high school volunteers with kids who need free tutoring.,"Tutoring Program, Technology Platform",,"Johns Creek, GA",Georgia,https://ingenify.org,Nonprofit,2020,"English Language Arts (ELA), Math, Reading, Science, Social Studies",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,Volunteer,,Virtual,,,300,50,,,3:01,,Out of School,,,No,,,No,,,"Parent, School, Student",0,0,
Inspiring Minds,,"Inspiring Minds empowers students to succeed in school and life by providing them with trusted relationships, tutoring and mentoring by inspired community members.","Volunteers are matched with students in small groups to develop a trusting, relationship and to engage in structured activities, often around classroom or homework-related topic. Inspiring Minds views tutoring as the direct and clearly defined work to support the student's academic skill development and mentoring as the more indirect work aimed at cultivating caring, positive relationships which will boost student confidence and promote academic achievement.",Tutoring Program,,"Providence, RI",Rhode Island,https://inspiringmindsri.org,Nonprofit,,"English Language Arts (ELA), Early Literacy, Math, Reading",,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade","English, Spanish",,Volunteer,,"In-Person, Virtual",20% are Spanish speaking,"Hispanic or Latino- 72%, American Indian or Alaska Native-5%, Asian- 8%, Black or African American 17%, Native Hawaiian or Other Pacific Islander",1047,60,Varies by student needs,24-28,1:1 up to 4:1,,During School,,,No,,,No,,,"District, School",,0,
Intervene K12,"At Intervene K-12, we engage and empower struggling students to become high performers. We believe in building equity in education. We make the benefits of tutoring affordable and accessible to all districts and schools.","Intervene K-12 provides academic recovery and drives student success through comprehensive interventions, including assessments, analytics, and online LIVE small group instruction.","Intervene K-12's web-based platform supports data-driven, high-dosage small group tutoring for K-12 students across content areas. Intervene K-12 works closely with districts to diagnose students' misunderstanding by utilizing researched-based analytics. The programs' whole child approach prioritizes creating an authentic instructional environment that is culturally responsive.","Tutoring Program, Academic Intervention",,"Houston, TX","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",https://www.intervenek12.com,For Profit,2017,"English Language Arts (ELA), Early Literacy, Math, Reading, Other",English Language / ESL/ ELL & CTE,"3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","English, Spanish",,"Paraprofessional, Teacher, Tutoring Staff",,Virtual,60% Spanish,"40% Hispanic or Latino, 5% Asian, 40% Black or African American, 15% White","30,000",45-60,5-Mar,Based on district needs (20-40 weeks),4:1 up to 8:1,,"During School, Out of School",,Parent access to programs and bilingual support.,No,,,No,,,"District, School",Depends on size of program and services provided.,n/a,
iTutor.com,,,"We strive to close the equity and access gap for under-served populations Nationwide and provide high-quality tutoring by partnering with schools and universities to make available cost-effective online education services. In addition to the direct provision of supplemental academic supports, we train teachers and paraprofessionals to become more effective.","Tutoring Program, Technology Platform, Academic Intervention",,"Jericho, NY","Alaska, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Illinois, Kansas, Kentucky, Maine, Maryland, Minnesota, Montana, New Jersey, New Mexico, New York, North Carolina, Pennsylvania, South Carolina, Texas, Virginia, Wisconsin, Virtual",https://itutor.com/schools,For Profit,2013,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","Foreign Languages, ACT/SAT test prep, AP level subjects","Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","English, Spanish",,Teacher,,Virtual,,,,,,,,,"During School, Out of School",,,No,,,Yes,JHU-IDR : https://drive.google.com/drive/u/1/folders/1NJU_g8IO9Mv97kDx24np2P98RVH… JHU-IDR ExecSum: https://docs.google.com/document/d/1AeJlEF5xVl6Eehx6jtCzK8G6Ve4GhrEk/ed…,,"District, School",$55-$110 per hour depending on student:teacher ratios,N/A,
Ivy Tutors Network,,Education is not one size fits all. We help students find joy in learning through personalized education.,"For almost 20 years, Ivy Tutors Network's brilliant and caring tutor-mentors have inspired students to achieve through fundamental skills-teaching and a growth mindset curriculum, in both individual and small group settings. Our team of 50+ best-in-class, vetted tutors work with kids of all ages to help them achieve their scholastic potentials, retain knowledge, increase confidence, receive higher scores on exams, and gain admittance to the best schools. We arm students with skills, strategies, and thirst for knowledge that will carry them through school, college, and beyond.",Tutoring Program,,"New York, NY","California, Maryland, Massachusetts, New Jersey, New York, Rhode Island, Vermont, Washington DC, Virtual",https://ivytutorsnetwork.com/,For Profit,2003,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","SAT, ACT, SHSAT, TACHS, ISEE, SSAT, AP Courses, Statwide and Citywide testing (incl: Regents, Common Core), GRE, GMAT, LSAT, College Essay, College Admissions, Economics, Statistics","Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","Chinese, English, French, Spanish, Vietnamese, Other",,"Teacher, Tutoring Staff",,"Blended, In-Person, Virtual","20% speak Spanish, 15% speak French,","20% Hispanic or Latino, 10% Asian, 20% Black or African American, 50% White",400,Varies,Varies,Varies,,,"During School, Out of School",,"Tutors send after-session notes to families. We also send monthly progress reports and reports post-assessment (diagnostic & mock test). These can be sent to families and/or schools, as requested.",No,,,No,,,"District, Nonprofit, Parent, School, Student",Varies,Varies,
Kelly Education,,Our structured and managed program bridges the learning gap by connecting students with qualified Kelly tutors in core academic areas.,"Kelly Education, an established presence inside schools across the United States, will closely partner with parents and teachers to ensure tutoring meets individual student's needs. Tutoring solutions are designed with insights based on its work with school districts over the past 20 years. Upon completing a needs assessment, the education team develops a plan to show how an effective tutoring program should be structured.
 ","Tutoring Program, Academic Intervention",,"Troy, Michigan","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",http://kellyeducationalstaffing.us/tutors,For Profit,2001,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies",,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary",English,,"Teacher, Tutoring Staff",,"Blended, In-Person, Virtual",,,,Customizable,Customizable,Customizable,"1:1, 2:1, 3:1",,"During School, Out of School",,We provide updates on student progress to the parents and teachers.,No,,,No,,,"District, Parent, School, Student",Cost varies by state and by student to tutor ratio.,,
Knoyo Tutoring,,"Our mission is to provide students with a pressure-free environment to learn, find community, and achieve their dreams. Whether they just need homework help, need to prepare for the SAT, or are feeling unsure about what college to choose, we're here to help. By creating a space where students of all kinds can feel welcome and at ease, we hope to help them navigate their individual experiences with confidence.","Knoyo connects students from all walks of life so they may share their individual experiences and knowledge. Our tutors are college honors students from universities all across the country, from junior colleges to the Ivy League, to ensure that there's a perfect tutor for each student. We created this space to foster these invaluable connections, giving students a strong foundation to grow from.",Tutoring Program,,"Atlanta, GA",Virtual,https://www.knoyo.com,For Profit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","Elementary English, Algebra, Biology, Chemistry, English, Geometry, Life sciences, Creative Writing, English Composition, ESOL, Literature, Precalculus, Calculus 1, Calculus 2, Statistics, Geometry/Trigonometry, Chemistry, Physics, American History","Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","Chinese, English, French, Spanish, Other","Mandarin, Arabic, Latin",Peer,,Virtual,"25% speak Spanish, 8% speak French, 1% speak Mandarin, 1% fluent in Latin, 0.5% speak Arabic",,,30-60,Dependent on student request,,1:01,,Out of School,,,No,,,No,,,"Parent, Student",,"Each tutor sets their own rate, minimums $21.99/ 30 minute session, $39.99/ 1 hour session.",
Learning Lodge,"Mission to support students learning from home through free, online tutoring, and especially those who have been adversely affected by the pandemic.","Mission to support students learning from home through free, online tutoring, and especially those who have been adversely affected by the pandemic.","In response to COVID-19 school closures, Learning Lodge provides free virtual tutoring by connecting college volunteers with elementary and middle school students.",Tutoring Program,,"St. Louis, Missouri","Missouri, Virtual",https://www.learninglodge.org/,Nonprofit,2020,"Math, Science, Social Studies, Other",Foreign Language,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade","Chinese, English, French, Spanish",,Volunteer,,Virtual,"80% English only, 20% English+Mandarin Chinese.","Asian 20%,Black or African American 10%,White 70%",591,60,Varies based on student need,,1:01,,Out of School,,All communications between Learning Lodge/tutors are with the student's parents. We ask for parental input to get a better idea of a student's specific needs.,No,,,No,,,"Parent, Student",,Free,
Mastery Learning Hour,,"By training student volunteers in innovative teaching strategies and giving them the support they need to thrive, it's our mission to provide the highest possible quality free tutoring to every K12 child in the world anytime anywhere in any subject. Through this approach, we hope to 1) erase inequity in education through access to high quality 1-1 instruction 2) raise compassionate citizens who have formed healthy attachments with positive role models 3) build a society of critical thinkers who are able to use scientific reasoning to analyze and take action in their world 4) inspire and support the next generation of teachers through excellent training and meaningful field work. We hope to achieve this by rigorous attention to training and active collaboration with schools, teachers and parents. We're starting with K12 math in English and Spanish, but it's our ultimate aim to provide tutoring in every subject, not just STEAM, but play-based learning, foreign language and other eclectic subject 24 hours a day.","Masteryhour.org is a free, online tutoring program for K12 students, led by volunteers from colleges and universities, currently offered in English and Spanish. We use a mastery-based approach to ensure students advance at their own rate.  All our tutors are trained in innovative teaching techniques including inquiry-based learning. anti-bias education, child-centered communication differentiating learning and cultivating a growth mindset. Volunteer professors and math teachers come to observe tutoring sessions and offer feedback and support to the student tutor volunteers. All the tutoring happens in the Mastery Hour zoom room. Students can drop in whenever they need tutoring and are paired with tutors in breakout rooms - or can stay in the main room for study hall (occasionally asking a question as needed). While we're starting with math offered twice a day in our zoom room, we hope to add more subjects and hours until Masteryhour.org is available 24 hours a day for free to any child who needs it.","Tutoring Program, Technology Platform, Academic Intervention",,"San Francisco, CA",Virtual,http://www.masteryhour.org,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading",,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","Chinese, English, French, Other","Vietnamese, German","Peer, Volunteer",,Virtual,,,,,,,,,"During School, Out of School",,"We actively collaborate with the school, teacher and families via our orientation, phone, email, slack group and parent workshops to ensure positive outcomes for students. After every session, parents, tutors and students are required to send us a feedback form about their session so we can work together to ensure the student is getting the utmost gain out of the program. We also communicate with the school.",No,,,No,,,"District, Nonprofit, Parent, School",0,0,"Manisha Snoyer, manisha@masteryhour.org"
MindMatch,,Our mission is to help parents find the best teacher to support the academic growth of their child through a meaningful and effective online learning experience.,"We pair students with experienced, background-checked teachers based on preferred learning style for 1:1 online tutoring sessions.","Tutoring Program, Technology Platform, Academic Intervention",,"Houston, TX",Virtual,http://www.mindmatch.com,For Profit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","English, Spanish",,Teacher,,Virtual,15% speak Spanish,"15% Hispanic/Latino, 10% Asian, 45% Black or African American",,60,1,4,1:01,,Out of School,,We establish a close relationship with parents and guardians to understand the challenges every student is facing and set expectations. The communication with parents is constant and direct. MindMatch teachers and team is available for parents when needed. Teachers have a direct communication with parents to report progress and/or feedback from every lesson.,No,,,No,,,Parent,,,
Open Literacy,Ensure learners K-5 have access to high quality reading instruction rooted in the science of reading.,Ensure learners K-5 have access to high quality reading instruction rooted in the science of reading.,"OpenLiteracy Reading is anchored in the Science of Reading and its high impact tutoring follows a sequence of lessons that begins with letter sounds, beginning blending, and phonological awareness and moving through advanced phonics. Students who complete levels 9 in the OpenLiteracy Reading sequence successfully will read at an end of second grade level.","Tutoring Program, Other",Intensive reading tutoring.,"Pittsburg, Pennsylvania",Virtual,https://openliteracy.com/,For Profit,2013,"English Language Arts (ELA), Reading",,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade",English,,Other,College students,Virtual,,,,30,3,6,4:01,,"During School, Out of School",,Aimed as a resource for families teaching their young children to read.,No,,,No,,,"Parent, School",Each 6 week cycle of 18 lessons is $180/student.,Each 6 week cycle of 18 lessons is $180/student.,
PAPER,To give every student an equal opportunity to excel academically.,To give every student an equal opportunity to excel academically.,"Paper helps give every student an equal opportunity to excel academically. K-12 school districts throughout the U.S. and Canada count on Paper to promote educational equity, deliver personalized learning, and deploy academic support at scale. Our educational support system (ESS) provides learners with unlimited 24x7 homework help, writing feedback and study support at a predictable fixed cost. Papers specialized tutors deliver on demand, 1:1 academic support in four languages across more than 200 academic subject areas so students always have access to expert extra help exactly when, where and how they need it.",Tutoring Program,,"Montreal, Canada","California, Colorado, Florida, Illinois, Massachusetts, New York, Pennsylvania, Texas, Utah, Washington",https://paper.co/,For Profit,2014,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","All, including essay feedback.","Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","Chinese, English, French, Spanish",,,,Virtual,,,"800,000",,Varies based on student need,,1:01,,Out of School,,"We provide parent resources in multiple languages, and co-host parent webinars alongside our partner schools.",No,,,No,,,"District, Nonprofit, School",$/student based on the number of students.,Free,
Peer Power Foundation,To inspire and empower student success through peer-to-peer tutoring and mentoring.,To inspire and empower student success through peer-to-peer tutoring and mentoring.,"Peer Power recruits and trains high-performing college students, called Success Coaches, to tutor in public classrooms and mentor high school students to encourage active learning, valuing education, and being personally accountable for their futures.",Tutoring Program,,"Memphis, Tennessee",Tennessee,https://peerpowerfoundation.org/,Nonprofit,2004,"English Language Arts (ELA), Math, Science, Social Studies, Other","High School Level: All high school state tested subjects, ACT, College and Career Readiness (Scholarships, FASFA, College Essays and Applications); Middle School Level: Math, Reading and English.","6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,Tutoring staff,,"In-Person, Virtual","98% English, 2% Spanish","Hispanic or Latino 5%, Black or African American 75%, White 20%",5000+,,Varies based on student needs,,2:1 or 3:1,,"During School, Out of School",,"Texting, email, and targeted programming and events.",No,,,No,,,"School, Student",Average annual cost of running Peer Power in a school is $750 per students- but Peer Power pays tutors.,Cost is covered by donations and is free to students.,
PeerGuide,,PeerGuide's mission is to provide free educational assistance to K-9th grade students who don't have sufficient academic support at home.,"Our program utilizes high-school and college students to assist younger children that don't have the educational support they need to succeed and reach their potential in school. All meetings we hold are virtual as our tutors and students live across the country. Our sessions are usually held on ZOOM, and schedules for sessions are very flexible as they are agreed upon by the parent/guardian of the student and the tutor. We are open to any accommodations or suggestions you may have as a student or a tutor in the future.","Tutoring Program, Technology Platform",,"Seattle, WA",Virtual,https://www.peerguide.org/,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",We offer clubs for extra learning opportunities such as virtual classes for piano and computer science.,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade","English, Spanish",,"Peer, Volunteer, Other",High-school and college students,Virtual,"20% are fluent in a foreign language (including Hindi, Cantonese, and Spanish).","10% Hispanic or Latino, 60% Asian, 1% Black or African American, 29% White",178,60,1+ sessions per week depending on the student's needs,1:1 - 2:1,,,Out of School,,Parent/Guardian is usually the point of contact as most of our students are elementary or middle school students.,No,,,No,,,"District, Parent, School, Student",0,0,
Read Alliance,Works to accelerate the educational trajectory of early elementary students through the power of teens who provide one-to-one literacy tutoring in under-resourced communities.,Works to accelerate the educational trajectory of early elementary students through the power of teens who provide one-to-one literacy tutoring in under-resourced communities.,Read Alliance helps to shrink the achievement gap by pairing early elementary children with high school students trained and paid to provide one-to-one tutoring in foundational reading skills.,"Tutoring Program, Other",Individual phonics-based reading tutoring sessions complemented by literacy enhancements that include read alouds and lending library books.,"New York, New York",New York,https://readalliance.org/,,2000,Early Literacy,,"Kindergarten, 1st Grade, 2nd Grade",English,,Other,High schools students who are paid minimum wage.,"In-Person, Virtual",100% English,"Hispanic or Latino- 36%, Asian 10%, Black or African American 43%, White 11%",1049,45,,,1:01,,Out of School,,"Teachers/educators from the partner sites are employed by READ to help supervise the program and assist with family outreach during traditional programming to encourage enrollment. This outreach is complemented by invitations to families to participate in an â€œopen houseâ€ during program to observe how the sessions are run, and invitations to families to attend the completion ceremony at the conclusion of each program cycle. Throughout the series, children bring home â€œGot Growthâ€ charts that communicate the childâ€™s level, the number of books read, and an encouraging comment from the childâ€™s teen tutor. During the virtual program, READ facilitates a special family orientation before program begins to help provide the framework of the program, provide specific instructions for signing on and how best to support their child while in READ.",No,,,Yes,https://xpmrqmi8i9nphz8lw6la02-wpengine.netdna-ssl.com/wp-content/uploa…,,"Nonprofit, School","Typically $12,500 partnership fee + $6,000 for teacher wages.",Free,
Seeds of Literacy,,We are fighting a root cause of poverty (illiteracy) by providing education services that help adults thrive in their communities.,"We provide one-to-one tutoring for adult education and high school equivalency preparation (GED/TASC/HiSET) at two Cleveland-area locations, as well as nationally in our Virtual Classroom, conducted through Zoom. Our tutors are all volunteers. Unlike other programs, tutors may work with a different student each day. Because our adult learners did not succeed in more traditional classroom settings, our program offers the ultimate flexibility. ",Tutoring Program,,"Cleveland, Ohio","Ohio, Virtual",https://www.seedsofliteracy.org/,Nonprofit,1997,"English Language Arts (ELA), Math, Reading, Science, Social Studies, Other",Beginning readers (adults),"1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,"Tutoring Staff, Volunteer",,Virtual,,"Hispanic or Latino- 10.30%, American Indian or Alaska Native-1.40%, Asian- 13.70%, Black or African American 13.70%, White 61%",1000,120,12,Ongoing,1:01,,"During School, Out of School",,,No,,,No,,,Student,,0,
Sharity Tutoring,,"Sharity Tutoring strives to provide free tutoring services to children in grades K-12. By working with a group of gifted high schoolers, we are determined to build productive relationships and create a strong academic foundation.","Since 2020, Sharity Tutoring Inc. has been committed to supporting our community by providing free tutoring services to as many children as possible. On top of managing countless AP, IB, and AICE classes, the tutors at Sharity Tutoring are extremely involved in their community and are dedicated to providing academic assistance as well as guidance to students in grades K-12. By booking an appointment, individuals will receive a private virtual tutoring session completely free of cost. Sharity Tutoring is a 501(c)(3) certified nonprofit incorporation whose goal is to build a community of learners both locally and internationally through free tutoring services. In order to maximize the number of students Sharity's tutors are able to work with, tutors have developed flexible schedules to accommodate students on weekdays as well as weekends.",Tutoring Program,,"Wellington, FL",Virtual,https://www.sharitytutoring.com/,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","Spanish, Physics, French, Italian, Economics, Biology, Chemistry, Music Theory, and Korean","Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","Chinese, English, French, Spanish, Other","Korean, Italian, Creole","Peer, Tutoring Staff, Volunteer",,Virtual,"28% speak Spanish, 6% speak Italian, 6% speak French, 6% speak Korean, 11% speak Chinese, 11% speak Creole","28% Hispanic or Latino, 22% Asian, 11% Black or African American, 39% White",18,30-90,,Continous,1:01,,Out of School,,"Tutors speak with parents to book sessions as a form of parental consent. Upon request, tutors will provide a summary of the materials that were covered during the session.",No,,,No,,,"Nonprofit, Student",0,0,
Springboard Collaborative,"Springboard Collaborative closes the literacy gap by bridging the gap between home and school. We coach educators and family members to help kids learn to read by 4th grade. In doing so, we enable school communities to accelerate learning by harnessing th","Springboard Collaborative closes the literacy gap by bridging the gap between home and school. We coach educators and family members to help kids learn to read by 4th grade. In doing so, we enable school communities to accelerate learning by harnessing the untapped teaching potential within families.","Springboard's recipe for impact is a method we call Family-Educator Learning Accelerators (or FELAs). FELAs are 5-10-week cycles during which teachers and parents team up to help kids reach learning goals. Programming combines personalized reading instruction for PreK-3rd graders, weekly workshops training parents as reading coaches, and professional development for educators.","Tutoring Program, Academic Intervention, Other",Family Engagement,"Philadelphia, Pennsylvania","California, Connecticut, Delaware, Maryland, Massachusetts, Michigan, New York, Pennsylvania, Washington DC",www.springboardcollaborative.org,Nonprofit,2011,Reading,,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade",English,,"Paraprofessional, Parent, Teacher, Tutoring Staff",,"Blended, In-Person, Virtual",,,10000+,30,4-Mar,Each FELA is a 5-10-week goal-setting cycle.,Varies up to 15:1,,"During School, Out of School",,Parents participate in training and provide home-based instruction.,No,,,Yes,https://tracking.cirrusinsight.com/15123887-7af4-4901-8478-f598f21654f4…,Students averaged 1.8 months of sustained reading growth with just 5 weeks of programming. Students who started below grade level. Rising 4th graders who started programming more than a year below grade-level averaged a 4.4-month gain in 5 weeks.,School,"Springboard charges a per school fee for partner support (i.e.: training and coaching) and a per student fee for resources (e.g.: curriculum, books, incentives, etc.). For Springboard's 'Premier' offering, the partner support package is $15K/school.",Free,
Step Up Tutoring,,Step Up Tutoring's mission is to improve student success through academic support and mentorship in under-resourced communities.,"Step Up Tutoring is a non-profit organization that recruits, screens, trains, matches and supports volunteer tutors with elementary school students for twice per week online tutoring and mentoring. Tutoring currently focuses on English Language Arts and math. ",Tutoring Program,,"Los Angeles, CA",California,https://www.stepuptutoring.org/,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading",,"3rd Grade, 4th Grade, 5th Grade, 6th Grade","English, Spanish",,Volunteer,,Virtual,"13% fluent Spanish, 50% basic Spanish",,640,45,2,Ongoing,1:01,,Out of School,,"Step Up hosts family orientations to ensure families are clear what to expect from the program and how to best support their students. Step Up shares weekly Step Up Tutoring updates with the families and provides opportunities for family feedback via surveys and focus groups. Additionally, we try to engage families and build relationships through fun events such as Family Games Nights.",No,,,No,,,"District, School",Free,Free,
Student Power,,Student Power is a student- led portal.  We are providing a student to student tutoring platform that supports student learning and empowers students to achieve success.,"The sudden switch to virtual learning impacted all K-12 students, the ones whose education was impacted most were elementary and middle schoolers.  Our team saw an opportunity to build a community to teach young students and help older students meet their graduation requirements through Student Power.","Tutoring Program, Technology Platform",,"Houston, TX",Texas,https://studentpower.co,For Profit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",Languages,"1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade","Chinese, English, French, Spanish",,Peer,,Virtual,90%,,,30,3,12,1:01,,Out of School,,Parent Portal.,No,,,No,,,"Parent, School, Student","an annual fee of $3,000 for the School Orientation Package, plus a one-time set-up and implementation fee of $2,000 and a10 dollar per student per year charge.",0,
Tennessee Tutoring Corps,To support student learning through the summer and help stave off a dramatic COVID slide.,To support student learning through the summer and help stave off a dramatic COVID slide.,7-8 week program using trained college students to tutor students in 1st-4th grade through pre-existing community-based summer programs.,Tutoring Program,,"Nashville, Tennessee",Tennessee,,Nonprofit,2020,"English Language Arts (ELA), Math",,"1st Grade, 2nd Grade, 3rd Grade, 4th Grade",English,,Other,Paid college students,In-Person,95-100% English speaking,"Hispanic or Latino- 7% Asian 6%, Black or African American 20%, White 66%",2000,120,4,8,"2:1, 3:1. 4:1, 5:1",,Out of School,,Parents received a letter from TTC explaining the program and how to further support their students with learning when they were at home.,No,,,No,,,Nonprofit,Free,Free,
The Great Oaks Foundation,"For the past ten years, the Great Oaks (GO) Foundation has recruited, trained and supported recent college graduates in a year-long Fellowship to intensively tutor and mentor students from low-income, urban communities.  The best of those Fellows are recr","For the past ten years, the Great Oaks (GO) Foundation has recruited, trained and supported recent college graduates in a year-long Fellowship to intensively tutor and mentor students from low-income, urban communities.  The best of those Fellows are recruited to participate in a Teacher Residency program to train to become effective classroom teachers.","Through a grant from the federal Corporation for National & Community Service, GO’s program of individualized tutoring & mentoring is currently provided by 300+ AmeriCorps members who are a part of the GO Fellowship at 6 different schools. The GO Foundation is seeking to expand its program by either (1) providing additional AmeriCorps members through an expanded grant at a larger number of partner schools, or; (2) providing technical assistance to school districts, or charter networks seeking to establish their own high-dosage tutoring/mentoring program.",Tutoring Program,,"New York, New York","Connecticut, Delaware, Maryland, New York",GreatOaksCharter.org,Nonprofit,2011,"English Language Arts (ELA), Math",,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",Other,We recruit Fellows who have the language abilities to match our students and their families.,"Paraprofessional, Other",Paraprofessional Americorps Fellows,"Blended, In-Person, Virtual","We have no current data on linguistic capacity of our Tutors, but have significant numbers who have Spanish or Chinese language ability.","Hispanic or Latino- 18%, Asian 5%, Black or African American 35%, White 32%",3735,60,4,Throughout School Year,"2:1, 3:1, 4:1",,During School,,Tutors call home each week to check in with families about how their child is doing in school.,No,,,No,,,"District, School","$10,000 per Fellow placed, where the Great Oaks Foundation sources, screens, trains & supports the Fellow throughout their year of service, including paying the Fellow's living allowance.",Free,
